extra_trees_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.71,0.00
0.05,1.00,0.00,0.50,0.00,0.71,0.00
0.10,1.00,0.02,0.51,0.09,0.71,0.02
0.15,0.98,0.03,0.51,0.05,0.71,0.02
0.20,0.97,0.09,0.53,0.12,0.71,0.06
0.25,0.96,0.14,0.55,0.18,0.71,0.10
0.30,0.96,0.19,0.58,0.23,0.71,0.15
0.35,0.94,0.21,0.58,0.22,0.71,0.15
0.40,0.90,0.31,0.61,0.26,0.71,0.21
0.45,0.77,0.47,0.62,0.26,0.71,0.24
0.50,0.63,0.67,0.65,0.30,0.71,0.30
0.55,0.49,0.79,0.64,0.29,0.71,0.27
0.60,0.38,0.91,0.65,0.34,0.71,0.29
0.65,0.30,0.96,0.63,0.34,0.71,0.25
0.70,0.22,0.98,0.60,0.31,0.71,0.20
0.75,0.16,0.98,0.57,0.26,0.71,0.15
0.80,0.11,0.99,0.55,0.23,0.71,0.11
0.85,0.07,1.00,0.54,0.19,0.71,0.07
0.90,0.06,1.00,0.53,0.17,0.71,0.06
0.95,0.00,1.00,0.50,0.00,0.71,0.00

extra_trees_kfold_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.61,0.00
0.05,1.00,0.00,0.48,0.00,0.56,0.00
0.10,1.00,0.00,0.48,0.00,0.58,0.00
0.15,1.00,0.00,0.48,0.00,0.56,0.00
0.20,0.97,0.05,0.49,0.06,0.58,0.02
0.25,0.95,0.07,0.49,0.04,0.58,0.02
0.30,0.89,0.15,0.51,0.06,0.57,0.04
0.35,0.78,0.35,0.56,0.15,0.59,0.13
0.40,0.76,0.40,0.57,0.17,0.57,0.15
0.45,0.57,0.47,0.52,0.04,0.57,0.04
0.50,0.46,0.60,0.53,0.06,0.59,0.06
0.55,0.38,0.72,0.56,0.11,0.60,0.10
0.60,0.30,0.72,0.52,0.02,0.57,0.02
0.65,0.24,0.78,0.52,0.02,0.58,0.02
0.70,0.14,0.95,0.56,0.15,0.58,0.09
0.75,0.08,0.93,0.52,0.01,0.55,0.01
0.80,0.11,0.97,0.56,0.17,0.58,0.09
0.85,0.08,1.00,0.56,0.21,0.59,0.08
0.90,0.05,1.00,0.55,0.17,0.56,0.06
0.95,0.00,1.00,0.52,0.00,0.57,0.00

knn_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.59,0.00
0.05,0.82,0.36,0.59,0.20,0.59,0.18
0.10,0.82,0.36,0.59,0.20,0.59,0.18
0.15,0.82,0.36,0.59,0.20,0.59,0.18
0.20,0.82,0.36,0.59,0.20,0.59,0.18
0.25,0.82,0.36,0.59,0.20,0.59,0.18
0.30,0.82,0.36,0.59,0.20,0.59,0.18
0.35,0.82,0.36,0.59,0.20,0.59,0.18
0.40,0.82,0.36,0.59,0.20,0.59,0.18
0.45,0.82,0.36,0.59,0.20,0.59,0.18
0.50,0.82,0.36,0.59,0.20,0.59,0.18
0.55,0.82,0.36,0.59,0.20,0.59,0.18
0.60,0.82,0.36,0.59,0.20,0.59,0.18
0.65,0.82,0.36,0.59,0.20,0.59,0.18
0.70,0.82,0.36,0.59,0.20,0.59,0.18
0.75,0.82,0.36,0.59,0.20,0.59,0.18
0.80,0.82,0.36,0.59,0.20,0.59,0.18
0.85,0.82,0.36,0.59,0.20,0.59,0.18
0.90,0.82,0.36,0.59,0.20,0.59,0.18
0.95,0.82,0.36,0.59,0.20,0.59,0.18

knn_kfold_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.60,0.00
0.05,0.73,0.47,0.60,0.21,0.60,0.20
0.10,0.73,0.47,0.60,0.21,0.60,0.20
0.15,0.73,0.47,0.60,0.21,0.60,0.20
0.20,0.73,0.47,0.60,0.21,0.60,0.20
0.25,0.73,0.47,0.60,0.21,0.60,0.20
0.30,0.73,0.47,0.60,0.21,0.60,0.20
0.35,0.73,0.47,0.60,0.21,0.60,0.20
0.40,0.73,0.47,0.60,0.21,0.60,0.20
0.45,0.73,0.47,0.60,0.21,0.60,0.20
0.50,0.73,0.47,0.60,0.21,0.60,0.20
0.55,0.73,0.47,0.60,0.21,0.60,0.20
0.60,0.73,0.47,0.60,0.21,0.60,0.20
0.65,0.73,0.47,0.60,0.21,0.60,0.20
0.70,0.73,0.47,0.60,0.21,0.60,0.20
0.75,0.73,0.47,0.60,0.21,0.60,0.20
0.80,0.73,0.47,0.60,0.21,0.60,0.20
0.85,0.73,0.47,0.60,0.21,0.60,0.20
0.90,0.73,0.47,0.60,0.21,0.60,0.20
0.95,0.73,0.47,0.60,0.21,0.60,0.20

mlp_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.69,0.00
0.05,0.98,0.11,0.55,0.19,0.69,0.09
0.10,0.91,0.21,0.56,0.17,0.69,0.12
0.15,0.78,0.41,0.60,0.21,0.69,0.19
0.20,0.76,0.47,0.61,0.24,0.69,0.23
0.25,0.75,0.50,0.62,0.26,0.69,0.25
0.30,0.74,0.52,0.63,0.27,0.69,0.26
0.35,0.69,0.54,0.62,0.24,0.69,0.24
0.40,0.68,0.57,0.63,0.26,0.69,0.25
0.45,0.67,0.63,0.65,0.30,0.69,0.30
0.50,0.65,0.65,0.65,0.30,0.69,0.30
0.55,0.63,0.71,0.67,0.34,0.69,0.34
0.60,0.59,0.76,0.67,0.35,0.69,0.34
0.65,0.54,0.78,0.66,0.33,0.69,0.32
0.70,0.51,0.80,0.66,0.33,0.69,0.32
0.75,0.49,0.82,0.66,0.33,0.69,0.31
0.80,0.40,0.86,0.63,0.29,0.69,0.26
0.85,0.37,0.87,0.62,0.27,0.69,0.23
0.90,0.35,0.88,0.62,0.27,0.69,0.23
0.95,0.30,0.91,0.60,0.26,0.69,0.21

mlp_kfold_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.63,0.00
0.05,0.81,0.30,0.55,0.13,0.61,0.11
0.10,0.86,0.23,0.53,0.12,0.62,0.09
0.15,0.84,0.30,0.56,0.16,0.55,0.13
